Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
University of Tokyo,www.u-tokyo.ac.jp,1,42,103,52,20,2012
National Taiwan University,www.ntu.edu.tw,2,58,145,72,103,2012
Kyoto University,www.kyoto-u.ac.jp,3,60,236,31,40,2012
National University of Singapore,www.nus.edu.sg,4,75,163,116,36,2012
Tsinghua University China / 清华大学,www.tsinghua.edu.cn,5,78,104,162,55,2012
Shanghai Jiao Tong University / 上海交通大学,www.sjtu.edu.cn,6,102,282,238,126,2012
University of Hong Kong,www.hku.hk,7,108,194,618,127,2012
Peking University / 北京大学,www.pku.edu.cn,8,123,105,591,76,2012
Tel Aviv University,www.tau.ac.il,9,138,119,407,113,2012
Weizmann Institute of Science,www.weizmann.ac.il,10,149,180,1267,227,2012
Seoul National University / 서울대학교,www.snu.ac.kr,11,155,436,390,74,2012
Kasetsart University,www.ku.ac.th,12,167,91,262,1160,2012
Osaka University,www.osaka-u.ac.jp,13,170,445,128,70,2012
Korea Advanced Institute of Science & Technology KAIST,www.kaist.ac.kr,14,172,532,206,200,2012
Hong Kong Polytechnic University,www.polyu.edu.hk,15,178,98,618,187,2012
Chinese University of Hong Kong,www.cuhk.edu.hk,16,178,277,363,150,2012
Zhejiang University (National Che Kiang University) / 浙江大学,www.zju.edu.cn,17,183,287,648,92,2012
National Chiao Tung University,www.nctu.edu.tw,18,185,143,732,265,2012
National Cheng Kung University,www.ncku.edu.tw,19,189,367,460,207,2012
Hebrew University of Jerusalem,www.huji.ac.il,20,189,311,338,161,2012
Mahidol University,www.mahidol.ac.th,21,202,269,163,528,2012
Chulalongkorn University,www.chula.ac.th,22,209,148,378,561,2012
Chiang Mai University,www.cmu.ac.th,23,232,184,753,809,2012
Khon Kaen University,www.kku.ac.th,24,236,109,635,1107,2012
King Saud University,ksu.edu.sa,25,236,371,60,884,2012
Nagoya University,www.nagoya-u.ac.jp,26,246,510,324,149,2012
(1) Korea University / 고려대학교,www.korea.ac.kr,27,251,622,257,249,2012
Fudan University (Shanghai Medical University) / 复旦大学,www.fudan.edu.cn,28,258,234,607,189,2012
Keio University,www.keio.ac.jp,29,259,304,553,315,2012
Shandong University / 山东大学,www.sdu.edu.cn,30,266,328,655,314,2012
(1) Middle East Technical University,www.metu.edu.tr,31,277,254,146,519,2012
Tohoku University,www.tohoku.ac.jp,32,279,762,376,81,2012
National Tsing Hua University Taiwan,www.nthu.edu.tw,33,282,374,878,300,2012
Hokkaido University,www.hokudai.ac.jp,34,285,703,432,193,2012
University of Tsukuba,www.tsukuba.ac.jp,35,288,802,265,279,2012
Harbin Institute of Technology / 哈尔滨工业大学,www.hit.edu.cn,36,294,102,1796,241,2012
Prince of Songkla University,www.psu.ac.th,37,298,251,414,1111,2012
(1) Yonsei University / 연세대학교,www.yonsei.ac.kr,38,303,645,533,181,2012
Tokyo Institute of Technology,www.titech.ac.jp,39,316,806,309,167,2012
Pohang University of Science & Technology / 포항공과대학교,www.postech.ac.kr,40,324,786,1097,296,2012
National Sun Yat Sen University,www.nsysu.edu.tw,41,340,565,661,496,2012
National Central University,www.ncu.edu.tw,42,351,211,1250,456,2012
