Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
University of Cambridge,www.cam.ac.uk,1,20,35,94,12,2012
University of Oxford,www.ox.ac.uk,2,25,37,64,13,2012
Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich ,www.ethz.ch,3,29,87,1,41,2012
University College London,www.ucl.ac.uk,4,43,86,126,8,2012
Utrecht University / Universiteit Utrecht,www.uu.nl,5,57,182,15,33,2012
Università di Bologna,www.unibo.it,6,61,133,99,121,2012
University of Edinburgh,www.ed.ac.uk,7,64,97,123,52,2012
Universidade do Porto,www.up.pt,8,70,122,37,285,2012
Universität Wien,www.univie.ac.at,9,71,100,74,247,2012
(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet,www.ntnu.no,10,72,161,9,252,2012
University of Oslo / Universitetet i Oslo,www.uio.no,11,73,129,142,139,2012
(1) Catholic University of Leuven,www.kuleuven.be,12,76,259,84,47,2012
University of Groningen / Rijksuniversiteit Groningen,www.rug.nl,13,77,288,12,90,2012
(3) University of Helsinki / Helsingin yliopisto,www.helsinki.fi/university,14,80,257,71,94,2012
Charles University in Prague / Univerzita Karlova v Praze,www.cuni.cz,15,81,153,151,266,2012
(3) Universidad Complutense de Madrid,www.ucm.es,16,85,110,244,237,2012
Delft University of Technology TU Delft,www.tudelft.nl,17,86,164,35,146,2012
Humboldt Universität zu Berlin,www.hu-berlin.de,18,88,115,93,232,2012
Freie Universität Berlin,www.fu-berlin.de,19,89,149,26,269,2012
(1) Universitat Autònoma de Barcelona,www.uab.cat,20,91,643,3,180,2012
Ludwig Maximilians Universität München,www.uni-muenchen.de,21,92,217,28,53,2012
Ghent University / Universiteit Gent,www.ugent.be,22,93,315,25,93,2012
École Polytechnique Fédérale de Lausanne,www.epfl.ch,23,96,330,38,97,2012
Ruprecht Karls Universität Heidelberg,www.uni-heidelberg.de,24,98,193,287,69,2012
Universitat Politècnica de Catalunya BarcelonaTech,www.upc.edu,25,99,111,388,297,2012
University of Amsterdam / Universiteit van Amsterdam,www.uva.nl,26,103,226,186,42,2012
Masaryk University in Brno / Masarykova Univerzita v Brně,www.muni.cz,27,104,279,7,744,2012
Technische Universität Wien,www.tuwien.ac.at,28,106,112,47,348,2012
University of Ljubljana / Univerza v Ljubljani,www.uni-lj.si,29,107,178,53,371,2012
(1) Technische Universität München,www.tum.de,30,112,206,139,85,2012
Universität Hamburg,www.uni-hamburg.de,31,113,280,192,145,2012
(1) University of Southampton,www.soton.ac.uk,32,119,139,256,99,2012
Universität Freiburg,www.uni-freiburg.de,33,121,213,204,136,2012
(1) University of Manchester,www.manchester.ac.uk,34,128,292,237,37,2012
Lund University / Lunds Universitet,www.lu.se,35,129,420,137,100,2012
University of Copenhagen / Københavns Universitet,www.ku.dk,36,130,267,308,66,2012
University of Glasgow,www.gla.ac.uk,37,131,200,255,115,2012
Rheinisch Westfalische Technische Hochschule Aachen,www.rwth-aachen.de,38,132,195,132,159,2012
Royal Institute of Technology / Kungliga Tekniska Högskolan,www.kth.se,39,135,272,58,238,2012
Uppsala University / Uppsala Universitet,www.uu.se,40,136,314,166,125,2012
Rheinische Friedrich Wilhelms Universität Bonn,www.uni-bonn.de,41,136,209,120,131,2012
Tel Aviv University,www.tau.ac.il,42,138,119,407,113,2012
Universidad de Granada,www.ugr.es,43,142,247,50,338,2012
Universidad Politécnica de Madrid,www.upm.es,44,143,132,90,463,2012
University of Leeds,www.leeds.ac.uk,45,145,160,327,122,2012
Stockholm University / Stockholms Universitet,www.su.se,46,148,210,133,219,2012
Weizmann Institute of Science,www.weizmann.ac.il,47,149,180,1267,227,2012
Georg-August-Universität Göttingen,www.uni-goettingen.de,48,156,117,440,177,2012
Universität Leipzig,www.zv.uni-leipzig.de,49,156,212,184,257,2012
University of Bergen / Universitetet i Bergen,www.uib.no,50,161,190,573,248,2012
Technical University of Denmark / Danmarks Tekniske Universitet,www.dtu.dk,51,162,295,358,142,2012
Eindhoven University of Technology / Technische Universiteit Eindhoven,w3.tue.nl,52,163,456,19,209,2012
Aarhus University / Aarhus Universitet,www.au.dk,53,164,523,108,80,2012
Johann Wolfgang Goethe Universität Frankfurt am Main,www.uni-frankfurt.de,54,165,329,111,157,2012
(1) Universitat de València,www.uv.es,55,169,289,197,240,2012
Universidad del País Vasco,www.ehu.es,56,170,547,307,399,2012
Università degli Studi di Padova,www.unipd.it,57,175,478,95,118,2012
(1) University of Sheffield,www.shef.ac.uk,58,176,177,366,95,2012
Lomonosov Moscow State University / Московский государственный университет имени М.В. Ломоносова ,www.msu.ru,59,177,174,45,359,2012
University of Gothenburg / Göteborgs Universitet,www.gu.se,60,180,418,171,208,2012
Universidade Técnica de Lisboa,www.utl.pt,61,182,404,81,310,2012
(1) Friedrich Alexander Universität Erlangen Nürnberg,www.uni-erlangen.de,62,183,361,288,132,2012
University of Warwick,www.warwick.ac.uk,63,186,273,230,226,2012
Hebrew University of Jerusalem,www.huji.ac.il,64,189,311,338,161,2012
Université de Geneve,www.unige.ch,65,191,260,260,171,2012
Università di Pisa,www.unipi.it,66,192,302,267,218,2012
Universität zu Köln,www.uni-koeln.de,67,194,337,340,202,2012
Universität Zürich,www.uzh.ch,68,195,505,125,109,2012
