Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
Australian National University,www.anu.edu.au,1,84,118,107,130,2012
University of Queensland,www.uq.edu.au,2,97,225,218,56,2012
University of Melbourne,www.unimelb.edu.au,3,101,151,272,38,2012
Monash University,www.monash.edu.au,4,109,75,419,102,2012
University of Auckland,www.auckland.ac.nz,5,115,331,235,217,2012
University of New South Wales,www.unsw.edu.au,6,116,181,215,77,2012
(1) University of Sydney,www.usyd.edu.au,7,117,141,369,49,2012
University of Adelaide,www.adelaide.edu.au,8,255,364,472,228,2012
University of Western Australia,www.uwa.edu.au,9,324,491,624,162,2012
Massey University,www.massey.ac.nz,10,331,232,631,490,2012
Macquarie University,www.mq.edu.au,11,337,215,720,409,2012
RMIT University,www.rmit.edu.au,12,387,278,758,599,2012
Queensland University of Technology,www.qut.edu.au,13,398,687,417,374,2012
University of Otago,www.otago.ac.nz,14,433,728,608,268,2012
Deakin University,www.deakin.edu.au,15,445,766,394,505,2012
University of South Australia,www.unisa.edu.au,16,459,1303,1110,578,2012
University of Newcastle,www.newcastle.edu.au,17,461,793,917,369,2012
University of Technology Sydney,www.uts.edu.au,18,470,489,863,566,2012
University of Canterbury,www.canterbury.ac.nz,19,473,755,768,537,2012
University of Waikato,www.waikato.ac.nz,20,533,1219,714,845,2012
University of Tasmania,www.utas.edu.au,21,574,878,850,506,2012
University of Wollongong,www.uow.edu.au,22,597,717,1302,405,2012
Curtin University of Technology,www.curtin.edu.au,23,609,974,798,426,2012
Griffith University,www.griffith.edu.au,24,619,1419,678,432,2012
University of New England Australia,www.une.edu.au,25,637,526,1029,886,2012
La Trobe University,www.latrobe.edu.au,26,639,651,1399,522,2012
University of Western Sydney,www.uws.edu.au,27,640,407,1530,699,2012
Flinders University,www.flinders.edu.au,28,666,958,942,560,2012
James Cook University,www.jcu.edu.au,29,681,840,1358,504,2012
Victoria University of Wellington,www.victoria.ac.nz,30,728,1523,820,653,2012
Murdoch University,www.murdoch.edu.au,31,793,801,1625,741,2012
Edith Cowan University,www.ecu.edu.au,32,903,1098,1670,1056,2012
Charles Sturt University,www.csu.edu.au,33,909,1218,1183,1047,2012
Victoria University,www.vu.edu.au,34,947,1380,1075,1088,2012
Swinburne University of Technology,www.swinburne.edu.au,35,1044,1511,2109,754,2012
University of Southern Queensland,www.usq.edu.au,36,1148,1578,1571,1459,2012
University of Canberra,www.canberra.edu.au,37,1219,1805,1393,1666,2012
Auckland University of Technology,www.aut.ac.nz,38,1259,1244,3202,1204,2012
Central Queensland University CQUniversity,www.cqu.edu.au,39,1259,1159,3409,1356,2012
University of the South Pacific,www.usp.ac.fj,40,1291,3004,1684,1966,2012
Lincoln University Canterbury,www.lincoln.ac.nz,41,1383,1457,3177,1239,2012
Charles Darwin University,www.cdu.edu.au,42,1474,3548,1955,990,2012
Bond University,www.bond.edu.au,43,1688,1234,3969,1956,2012
Australian Catholic University,www.acu.edu.au,44,1745,2292,1479,2923,2012
University of Ballarat,www.ballarat.edu.au,45,1905,2627,3177,1797,2012
Southern Cross University,www.scu.edu.au,46,1915,2479,4338,1365,2012
Unitec New Zealand,www.unitec.ac.nz,47,2208,1864,3113,3238,2012
University of Guam / Unibetsedat Guahan,www.uog.edu,48,2964,3993,4403,2739,2012
Université de la Nouvelle Calédonie,www.univ-nc.nc,49,3106,5006,5560,3320,2012
Australian Defence Force Academy at UNSW,www.unsw.adfa.edu.au,50,3321,7486,3470,1482,2012
Manukau Institute of Technology,www.manukau.ac.nz,51,3578,1982,4557,5230,2012
Waikato Institute of Technology,www.wintec.ac.nz,52,3599,5111,3496,3404,2012
Moore Theological College,moore.edu.au,53,3809,3078,6457,5230,2012
University of the Sunshine Coast,www.usc.edu.au,54,3850,4631,7601,2342,2012
Université de la Polynesie Française Tahiti,www.upf.pf,55,4686,5587,4557,3404,2012
American Samoa Community College,www.amsamoa.edu,56,4843,3312,9809,3520,2012
Open Polytechnic of New Zealand,www.openpolytechnic.ac.nz,57,4942,7152,3776,5230,2012
Australian Maritime College,www.amc.edu.au,58,5233,5037,5694,3656,2012
College of Micronesia FSM,www.comfsm.fm,59,5633,5887,7125,4606,2012
(1) Otago Polytechnic,www.otagopolytechnic.ac.nz,60,6031,6401,6754,3821,2012
Melbourne Business School,www.mbs.edu,61,6040,4215,7125,5230,2012
(1) Eastern Institute of Technology Hawke’s Bay and Tairāwhiti,www.eit.ac.nz,62,6102,7340,4622,5230,2012
Australian Film Television and Radio School,www.aftrs.edu.au,63,6134,4545,7125,5230,2012
Southern Institute of Technology,www.sit.ac.nz,64,6134,7050,6220,5230,2012
University of Notre Dame Australia,www.nd.edu.au,65,6360,4056,9809,4606,2012
Sydney Institute Colleges TAFE NSW,www.sit.nsw.edu.au,66,6436,5984,9809,5230,2012
Nelson Marlborough Institute of Technology,www.nmit.ac.nz,67,6441,4827,7601,5230,2012
Northern Marianas College,www.nmcnet.edu,68,6533,3248,9809,5230,2012
Batchelor Institute of Indigenous Tertiary Education,www.batchelor.edu.au,69,6537,6804,6457,5230,2012
Christian Heritage College   ,www.chc.edu.au,70,6555,2979,9809,5230,2012
Christchurch Polytechnic Institute of Technology,www.cpit.ac.nz,71,6875,5148,7125,5230,2012
Adelaide Institute of TAFE,www.tafesa.edu.au,72,7006,4016,9809,5230,2012
Waiariki Institute of Technology,www.waiariki.ac.nz,73,7123,8678,6038,5230,2012
Guam Community College,www.guamcc.edu,74,7157,4911,9809,5230,2012
Universal College of Learning,www.ucol.ac.nz,75,7200,6912,5694,5230,2012
Fiji National University,www.fnu.ac.fj,76,7455,12035,4477,4606,2012
Whitireia Polytechnic,www.whitireia.ac.nz,77,8026,4521,9809,5230,2012
Bay of Plenty Polytechnic Tauranga,www.boppoly.ac.nz,78,8288,5651,9809,5230,2012
Oceania University of Medicine,www.oceaniamed.org,79,8325,9038,5157,5230,2012
Avondale College,www.avondale.edu.au,80,8440,7376,7601,5230,2012
(2) Curtin University of Technology Department of Computing,www.computing.edu.au,81,8688,9172,4867,5230,2012
Wellington Institute of Technology,www.weltec.ac.nz,82,8886,7225,8345,5230,2012
Papua New Guinea University of Technology,www.unitech.ac.pg,83,8947,8626,5271,4606,2012
Western Institute of Technology at Taranaki,www.witt.ac.nz,84,8965,10286,4274,5230,2012
International College of Management Sydney,www.icms.edu.au,85,8979,10364,9809,5230,2012
(2) Fiji National University Fiji School of Medicine,www.fsm.ac.fj,86,8989,7664,9809,3821,2012
Divine Word University,www.dwu.ac.pg,87,9001,7103,9809,5230,2012
College of the Marshall Islands,www.cmi.edu,88,9112,7961,9809,5230,2012
Menzies School of Health Research,www.menzies.edu.au,89,9123,9204,5861,5230,2012
Te Wānanga o Aotearoa,www.twoa.ac.nz,90,9219,9297,9809,5230,2012
NSW College of Nursing,www.nursing.edu.au,91,9338,11714,6457,5230,2012
Southbank Institute of Technology ,www.southbank.edu.au,92,9361,6339,9809,5230,2012
Kangan Batman Institute,www.kangan.edu.au,93,9465,6608,9809,5230,2012
University of Papua New Guinea,www.upng.ac.pg,94,9803,9905,9809,2790,2012
William Angliss Institute,www.angliss.edu.au,95,9811,10142,9809,5230,2012
