Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
University of Tokyo,https://www.u-tokyo.ac.jp/,1,28,107,153,49
Kyoto University,https://www.kyoto-u.ac.jp/,2,65,162,97,117
Tel Aviv University,https://www.tau.ac.il/,3,74,165,56,148
Sun Yat Sen University (Zhongshan University),http://www.sysu.edu.cn/,4,131,520,286,70
Tsinghua University,https://www.tsinghua.edu.cn/,5,160,110,5963,3
Hebrew University of Jerusalem,https://new.huji.ac.il/,6,167,225,40,328
Tianjin University,http://www.tju.edu.cn/,7,171,680,361,73
Tohoku University,http://www.tohoku.ac.jp/,8,184,394,127,217
Central South University (Zhongnan University),http://www.csu.edu.cn/,9,190,729,489,69
Beihang University (Beijing University of Aeronautics and Astronautics),https://www.buaa.edu.cn/,10,200,638,487,97
Technion Israel Institute of Technology,http://www.technion.ac.il/,11,227,421,108,287
Peking University,https://www.pku.edu.cn/,12,234,126,5963,17
Kyushu University,https://www.kyushu-u.ac.jp/,13,240,433,292,268
National University of Singapore,http://www.nus.edu.sg/,14,242,101,5963,29
Weizmann Institute of Science,https://www.weizmann.ac.il/,15,246,401,95,369
Hokkaido University,https://www.hokudai.ac.jp/,16,257,398,236,354
Dalian University of Technology,https://www.dlut.edu.cn/,17,265,780,500,156
Beijing Institute of Technology,http://www.bit.edu.cn/,18,268,715,491,177
Tokyo Institute of Technology,https://www.titech.ac.jp/,19,282,510,221,341
Keio University,https://www.keio.ac.jp/,20,286,234,568,477
University of Tsukuba,http://www.tsukuba.ac.jp/,21,292,429,344,395
Shanghai Jiao Tong University,https://www.sjtu.edu.cn/,22,299,210,5963,22
Northwestern Polytechnical University,https://www.nwpu.edu.cn/,23,310,1008,535,167
University of Malaya,https://www.um.edu.my/,24,316,1022,331,206
Zhejiang University (National Che Kiang University),https://www.zju.edu.cn/,25,320,244,5963,25
East China Normal University,https://www.ecnu.edu.cn/,26,321,565,536,342
National Tsing Hua University Taiwan,https://www.nthu.edu.tw/,27,327,476,315,453
King Saud University,https://ksu.edu.sa/,28,333,1120,348,205
Ben Gurion University of the Negev,https://in.bgu.ac.il/,29,341,618,197,435
National Chiao Tung University,https://www.nctu.edu.tw/,30,345,369,353,583
King Abdulaziz University,https://www.kau.edu.sa/,31,346,1966,451,108
University of Tehran,https://ut.ac.ir/,32,350,1065,364,252
Lanzhou University,http://www.lzu.edu.cn/,33,351,644,698,354
King Abdullah University of Science & Technology,https://www.kaust.edu.sa/,34,356,1177,163,270
Pohang University of Science & Technology,http://www.postech.ac.kr/,35,362,696,268,431
Nanyang Technological University,https://www.ntu.edu.sg/,36,364,278,5963,45
Shenzhen University,https://www.szu.edu.cn/,37,365,1115,479,245
China University of Geosciences,http://www.cug.edu.cn/,38,365,1078,791,212
University of Hong Kong,https://www.hku.hk/,39,367,137,5963,114
Chinese University of Hong Kong,http://www.cuhk.edu.hk/,40,369,134,5963,120
Xidian University,https://www.xidian.edu.cn/,41,377,955,665,276
University of Science & Technology of China,https://www.ustc.edu.cn/,42,383,252,5963,57
Fudan University (Shanghai Medical University),https://www.fudan.edu.cn/,43,390,226,5963,74
University of Science & Technology Beijing,https://www.ustb.edu.cn/,44,393,1015,772,269
Kobe University,https://www.kobe-u.ac.jp/,45,405,608,459,537
Wuhan University of Technology,http://www.whut.edu.cn/,46,415,1057,724,307
Middle East Technical University,https://www.metu.edu.tr/,47,418,495,401,628
Nanjing University of Aeronautics & Astronautics,http://www.nuaa.edu.cn/,48,418,1020,726,318
Hiroshima University,https://www.hiroshima-u.ac.jp/,49,426,568,422,592
Northeastern University China,http://www.neu.edu.cn/,50,430,1017,964,298
Jinan University,https://www.jnu.edu.cn/,51,433,902,690,380
(1) Seoul National University,https://www.snu.ac.kr/,52,435,284,5963,83
Waseda University,https://www.waseda.jp/,53,441,601,464,582
National Taiwan University,https://www.ntu.edu.tw/,54,442,135,5963,191
Tehran University of Medical Sciences,https://www.tums.ac.ir:443/,55,452,1364,244,362
Nanjing University of Science & Technology,http://www.njust.edu.cn/,56,454,1373,564,292
Indian Institute of Technology Bombay,http://www.iitb.ac.in/,57,458,736,317,571
Hong Kong Baptist University,https://www.hkbu.edu.hk/,58,460,555,510,623
City University of Hong Kong,https://www.cityu.edu.hk/,59,463,178,5963,159
China University of Mining & Technology,http://www.cumt.edu.cn/,60,465,1179,1252,261
Huazhong University of Science & Technology,https://www.hust.edu.cn:443/,61,469,506,5963,46
Nanjing University,https://www.nju.edu.cn:443/,62,470,367,5963,72
Wuhan University,https://www.whu.edu.cn/,63,472,322,5963,91
Universiti Teknologi Malaysia,https://www.utm.my/,64,474,1343,324,379
Chulalongkorn University,https://www.chula.ac.th/,65,476,704,503,581
Beijing University of Chemical Technology,https://www.buct.edu.cn/,66,478,1089,848,358
(1) Kyungpook (Kyungbook) National University,http://www.knu.ac.kr/,67,478,1129,274,454
Renmin University of China,https://www.ruc.edu.cn/,68,482,370,1088,712
Bar Ilan University,http://www1.biu.ac.il/,69,486,844,227,602
Pusan National University (Miryang),http://www.pusan.ac.kr/,70,489,848,486,550
Beijing University of Posts and Telecommunications,https://www.bupt.edu.cn/,71,490,1162,710,385
National Yang Ming University,https://web.ym.edu.tw/,72,499,460,916,692
Jiangsu University,https://www.ujs.edu.cn/,73,505,1567,984,260
Hefei University of Technology,http://www.hfut.edu.cn/,74,507,1000,940,417
Universiti Putra Malaysia,https://www.upm.edu.my/,75,509,1112,260,524
Indian Institute of Technology IIT Madras,https://www.iitm.ac.in:443/,76,509,922,392,564
Universiti Sains Malaysia,https://www.usm.my/,77,520,998,322,578
Harbin Institute of Technology,http://www.hit.edu.cn/,78,522,582,5963,60
Indian Institute of Science Bangalore,https://www.iisc.ac.in/,79,524,1381,296,483
Xi'An Jiaotong University,http://www.xjtu.edu.cn/,80,531,537,5963,82
Mahidol University,https://mahidol.ac.th/,81,531,769,662,634
Shandong University,https://www.sdu.edu.cn/,82,535,426,5963,115
Southwest University,http://swu.edu.cn/,83,540,1365,932,393
Zhejiang University of Technology,http://www.zjut.edu.cn/,84,547,1027,1126,482
Hong Kong Polytechnic University,https://www.polyu.edu.hk/,85,552,436,5963,131
(3) Peking University Health Science Center (Beijing Medical University),http://www.bjmu.edu.cn/,86,553,1297,1661,344
Istanbul Technical University,https://www.itu.edu.tr/,87,555,950,470,637
Hacettepe University,https://www.hacettepe.edu.tr/,88,557,972,381,654
Indian Institute of Technology Delhi,https://home.iitd.ac.in/,89,561,1355,365,542
Boğaziçi University,http://www.boun.edu.tr/,90,568,884,602,649
Tongji University,https://www.tongji.edu.cn/,91,569,542,5963,106
China University of Petroleum,http://www.upc.edu.cn/,92,574,1555,1163,363
Indian Institute of Technology IIT Kharagpur,http://www.iitkgp.ac.in/,93,575,1422,547,494
Shahid Beheshti University of Medical Sciences,http://www.sbmu.ac.ir/,94,583,1193,396,596
Indian Institute of Technology IIT Kanpur,http://www.iitk.ac.in/,95,585,878,402,739
Fuzhou University,https://www.fzu.edu.cn/,96,586,1292,918,467
Chung Ang University,https://www.cau.ac.kr/,97,588,1046,611,610
University of Macau,https://www.um.edu.mo/,98,590,1256,1259,445
Osaka University,https://www.osaka-u.ac.jp/,99,591,349,5963,196
