Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Eidgenössische Technische Hochschule ETH Zürich,https://ethz.ch/,1,10,42,12,32
University of Edinburgh,https://www.ed.ac.uk/,2,18,56,31,52
Utrecht University,https://www.uu.nl/,3,23,90,39,44
University of Amsterdam,https://www.uva.nl/,4,27,130,36,41
University of Copenhagen,https://www.ku.dk/,5,31,167,35,38
Catholic University of Leuven,https://www.kuleuven.be/,6,39,181,33,53
University of Groningen,https://www.rug.nl/,7,42,148,76,76
Technische Universität München,https://www.tum.de/,8,43,175,67,63
University of Helsinki,https://www.helsinki.fi/,9,45,124,74,125
University of Leeds,http://www.leeds.ac.uk/,10,46,114,58,139
Ludwig Maximilians Universität München,https://www.uni-muenchen.de/,11,48,149,191,85
University of Oslo,https://www.uio.no/,12,49,131,60,134
Ghent University,https://www.ugent.be/,13,56,229,37,75
Universität Zürich,https://www.uzh.ch/,14,57,204,38,90
University of Warwick,https://warwick.ac.uk/,15,59,112,92,166
Ruprecht Karls Universität Heidelberg,https://www.uni-heidelberg.de/,16,61,152,89,124
Uppsala University,https://www.uu.se/,17,62,168,53,116
University of Nottingham,https://www.nottingham.ac.uk/,18,63,161,50,125
University of Oxford,https://www.ox.ac.uk/,19,67,15,5963,4
Università di Bologna (Università degli Studi di Bologna),https://www.unibo.it/,20,70,191,63,112
Aarhus University,https://www.au.dk/,21,71,257,79,80
University of Sheffield,https://www.sheffield.ac.uk/,22,72,189,45,130
Lund University,https://www.lu.se/,23,72,186,66,127
Tel Aviv University,https://www.tau.ac.il/,24,74,165,56,148
VU University of Amsterdam,https://www.vu.nl/,25,78,299,86,71
Delft University of Technology TU Delft,https://www.tudelft.nl/,26,79,160,106,151
Università degli Studi di Roma La Sapienza,https://www.uniroma1.it/,27,85,383,51,62
Newcastle University Newcastle upon Tyne,https://www.ncl.ac.uk/,28,88,170,84,165
University of Glasgow,https://www.gla.ac.uk/,29,91,119,788,133
Universitat de Barcelona,https://www.ub.edu/,30,93,199,98,144
University of Cambridge,https://www.cam.ac.uk/,31,95,21,5963,12
Karolinska Institute,https://ki.se/,32,100,438,29,67
Université de Geneve,https://www.unige.ch/,33,102,159,73,204
Karlsruhe Institute of Technology (Universität Karlsruhe),https://www.kit.edu/,34,103,171,121,185
Università degli Studi di Padova,https://www.unipd.it/,35,108,388,47,92
Università degli Studi di Milano,https://www.unimi.it/,36,110,365,69,98
Universität Hamburg,https://www.uni-hamburg.de/,37,112,200,308,149
Queen Mary University of London,https://www.qmul.ac.uk/,38,113,238,80,159
Universität Wien,https://www.univie.ac.at/,39,115,120,133,281
Royal Institute of Technology,https://www.kth.se/,40,116,185,137,199
Wageningen University & Research Centre,https://www.wur.nl/,41,117,263,65,161
Rheinische Friedrich Wilhelms Universität Bonn,https://www.uni-bonn.de/,42,119,227,139,168
Rheinisch Westfalische Technische Hochschule Aachen,https://www.rwth-aachen.de/,43,121,209,170,183
UCL University College London,https://www.ucl.ac.uk/,44,123,49,5963,6
Technical University of Denmark,https://www.dtu.dk/,45,124,305,82,155
Università degli Studi di Napoli Federico II,http://www.unina.it/,46,126,449,101,101
University of Gothenburg,https://www.gu.se/,47,127,283,90,180
University of York,https://www.york.ac.uk/,48,134,173,88,305
Stockholm University,https://www.su.se/,49,136,314,112,184
(1) Norwegian University of Science & Technology,https://www.ntnu.no/,50,137,266,144,207
University of Liverpool,https://www.liverpool.ac.uk/,51,139,355,210,153
Charles University in Prague,https://cuni.cz/,52,141,196,397,218
London School of Economics and Political Science,https://www.lse.ac.uk/,53,143,88,105,498
Technische Universität Dresden,https://tu-dresden.de/,54,144,292,212,193
Freie Universität Berlin,https://www.fu-berlin.de/,55,145,138,259,331
University of Bergen,https://www.uib.no/,56,145,202,167,263
Universidade do Porto,https://sigarra.up.pt/,57,147,309,173,192
Cardiff University,https://www.cardiff.ac.uk/,58,149,324,142,190
Universitat Autònoma de Barcelona,https://www.uab.cat/,59,150,332,237,169
Universität Freiburg,https://uni-freiburg.de/,60,155,240,211,237
Aalto University,https://www.aalto.fi/,61,157,218,209,267
Erasmus University of Rotterdam,https://www.eur.nl/,62,158,580,338,84
Lomonosov Moscow State University,https://www.msu.ru/,63,161,187,387,265
(1) Universitat de València,https://www.uv.es/,64,162,315,143,223
Trinity College Dublin,https://www.tcd.ie/,65,164,206,128,317
Hebrew University of Jerusalem,https://new.huji.ac.il/,66,167,225,40,328
Universidade de Lisboa,https://www.ulisboa.pt/,67,170,499,225,140
Universität Tubingen,https://uni-tuebingen.de/,68,171,300,157,244
Universidad de Granada,https://www.ugr.es/,69,173,302,102,255
Humboldt Universität zu Berlin,https://www.hu-berlin.de/,70,174,216,263,295
Linköping University,https://liu.se/,71,176,192,222,326
Università degli Studi di Torino,https://www.unito.it/,72,181,518,134,163
National and Kapodistrian University of Athens,https://www.uoa.gr/,73,182,419,42,225
Universität Münster,https://www.uni-muenster.de/,74,186,317,313,231
Universität zu Köln,https://www.uni-koeln.de/,75,187,208,256,331
(1) Friedrich Alexander Universität Erlangen Nürnberg FAU,https://www.fau.de/,76,187,443,228,182
Politecnico di Milano,https://www.polimi.it/,77,189,347,172,237
Eindhoven University of Technology,https://www.tue.nl/,78,190,232,165,330
Radboud University,http://www.ru.nl/,79,192,364,118,246
University of Twente,https://www.utwente.nl/,80,194,220,149,371
Università degli Studi di Firenze,https://www.unifi.it/,81,195,544,109,178
University College Dublin,https://www.ucd.ie/,82,198,354,135,258
Université de Lyon I,https://www.univ-lyon1.fr/,83,200,494,231,176
University of Saint Andrews,https://www.st-andrews.ac.uk/,84,202,166,185,432
University of Sussex,https://www.sussex.ac.uk/,85,203,262,196,318
University of Leicester,https://le.ac.uk/,86,205,221,204,370
Aristotle University of Thessaloniki,https://www.auth.gr/,87,207,273,199,311
Johannes Gutenberg Universität Mainz,https://www.uni-mainz.de/,88,209,390,218,241
Imperial College London,https://www.imperial.ac.uk/,89,209,97,5963,16
Lancaster University,https://www.lancaster.ac.uk/,90,211,360,151,273
Universidad Autónoma de Madrid,http://www.uam.es/,91,213,465,168,220
Universität Würzburg,https://www.uni-wuerzburg.de/,92,217,371,241,259
Universität Duisburg Essen,https://www.uni-due.de/,93,218,308,335,291
Chalmers University of Technology,https://www.chalmers.se/,94,221,303,184,336
Sorbonne Université (ComUE Sorbonne Universites),https://www.sorbonne-universite.fr/,95,222,1599,498,21
University of Surrey,https://www.surrey.ac.uk/,96,223,235,198,401
Technion Israel Institute of Technology,http://www.technion.ac.il/,97,227,421,108,287
Aalborg University,https://www.aau.dk/,98,230,475,261,231
Université Grenoble Alpes (Communauté Université Grenoble Alpes),https://www.univ-grenoble-alpes.fr/,99,231,830,232,132
Universität Basel,https://www.unibas.ch/,100,232,425,166,279
