Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
Universidade de São Paulo USP,https://www5.usp.br/,1,32,132,18,59
Universidad Nacional Autónoma de México,https://www.unam.mx/,2,114,108,103,323
Universidade Federal do Rio de Janeiro,https://ufrj.br/,3,205,231,200,356
Universidade Estadual Paulista Júlio de Mesquita Filho,https://www2.unesp.br/,4,254,457,122,335
Universidad de Chile,https://www.uchile.cl/,5,264,310,265,414
Universidade Federal de Minas Gerais UFMG,https://ufmg.br/,6,332,539,186,457
Universidad de Buenos Aires,http://www.uba.ar/,7,340,448,342,502
Universidade Federal de Santa Catarina UFSC,http://ufsc.br/,8,353,325,340,643
Pontificia Universidad Católica de Chile,https://www.uc.cl:443/,9,395,782,556,409
Universidad Nacional de La Plata,https://unlp.edu.ar/,10,439,484,179,762
Universidade Federal do Paraná,https://www.ufpr.br/,11,537,633,436,797
Universidad de los Andes Colombia,https://uniandes.edu.co/,12,558,573,563,843
Universidade Federal Fluminense,http://www.uff.br/,13,575,577,499,890
Universidade Estadual de Campinas UNICAMP,https://www.unicamp.br/,14,630,285,5963,278
Universidade Federal do Ceará,http://www.ufc.br/,15,648,852,400,896
Universidade Federal de Pernambuco,https://www.ufpe.br/,16,683,1032,483,849
Centro de Investigación y de Estudios Avanzados del IPN CINVESTAV,https://www.cinvestav.mx/,17,687,1751,354,645
Universidad de Puerto Rico,https://www.upr.edu/,18,692,1080,610,810
Universidade do Estado do Rio de Janeiro UERJ,https://www.uerj.br/,19,706,1108,561,842
Tecnológico de Monterrey,https://tec.mx/,20,748,976,625,965
Universidade Federal do Rio Grande do Norte,https://ufrn.br/,21,765,1128,633,923
Universidade Federal do Rio Grande do Sul UFRGS,http://www.ufrgs.br/,22,771,368,5963,413
Universidad de Concepción,http://www6.udec.cl/,23,821,1406,622,947
Instituto Politécnico Nacional,https://www.ipn.mx/,24,849,1518,569,976
Universidad de Guadalajara,https://www.udg.mx/,25,872,659,683,1569
Universidad Autónoma Metropolitana,http://www.uam.mx/,26,924,933,723,1466
Universidade Federal de Viçosa UFV,https://www.ufv.br/,27,999,2428,418,1049
Universidade Federal do Pará UFPA,https://portal.ufpa.br/,28,1030,1555,676,1331
Benemérita Universidad Autónoma de Puebla,https://www.buap.mx/,29,1033,2299,993,983
Pontificia Universidad Javeriana,https://www.javeriana.edu.co/,30,1071,1285,787,1534
University of the West Indies,https://www.uwi.edu/,31,1113,1104,1016,1660
Universidade Federal do Espírito Santo,https://www.ufes.br/,32,1123,2008,721,1321
Universidad Nacional de Colombia,https://unal.edu.co/,33,1143,442,5963,877
Universidad Autónoma de Nuevo León,https://www.uanl.mx/,34,1162,1326,2110,1368
Universidad de Santiago de Chile,https://www.usach.cl/,35,1191,2007,832,1449
Universidad Técnica Federico Santa María,https://www.usm.cl/,36,1203,3782,1308,902
