Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
University of Washington,https://www.washington.edu/,1,1,6,25,9
Cornell University,https://www.cornell.edu/,2,2,5,3,24
Johns Hopkins University,https://www.jhu.edu/,3,3,18,10,8
Yale University,https://www.yale.edu/,4,4,10,2,26
University of California San Diego,https://www.ucsd.edu/,5,5,30,1,19
University of Toronto,https://www.utoronto.ca/,6,6,35,4,11
University of Wisconsin Madison,https://www.wisc.edu/,7,7,13,5,43
Pennsylvania State University,https://www.psu.edu/,8,8,11,11,51
New York University,http://www.nyu.edu/,9,9,26,8,40
Ohio State University,https://www.osu.edu/,10,11,43,26,42
University of Florida,http://www.ufl.edu/,11,12,33,7,61
Harvard University,https://www.harvard.edu/,12,13,1,5963,1
Washington University Saint Louis,https://wustl.edu/,13,14,40,6,65
University of Pittsburgh,https://www.pitt.edu/,14,15,50,17,56
Carnegie Mellon University,https://www.cmu.edu/,15,16,19,9,146
Boston University,https://www.bu.edu/,16,20,47,13,86
University of Arizona,https://www.arizona.edu/,17,21,34,24,122
Vanderbilt University,https://www.vanderbilt.edu/,18,24,74,16,77
University of Virginia,https://www.virginia.edu/,19,25,39,23,143
University of Utah,https://www.utah.edu/,20,26,52,30,119
Stanford University,https://www.stanford.edu/,21,29,3,5963,2
Emory University,https://www.emory.edu/,22,30,98,15,81
University of California Santa Barbara,https://www.ucsb.edu/,23,33,54,14,171
Brown University,https://www.brown.edu/,24,34,61,32,158
Massachusetts Institute of Technology,https://www.mit.edu/,25,35,1,5963,10
University of Iowa,https://uiowa.edu/,26,36,66,34,157
North Carolina State University,https://www.ncsu.edu/,27,37,51,44,186
Virginia Polytechnic Institute and State University,https://vt.edu/,28,40,60,52,200
Indiana University Bloomington,https://www.indiana.edu/,29,41,48,61,236
University of Waterloo,https://uwaterloo.ca/,30,44,85,59,175
Tufts University,https://www.tufts.edu/,31,47,46,104,277
University of Maryland Baltimore,https://www.umaryland.edu/,32,50,340,117,30
University of Calgary,https://www.ucalgary.ca/,33,50,129,48,138
University of Massachusetts Amherst,https://www.umass.edu/,34,52,72,49,229
University of California Berkeley,https://www.berkeley.edu/,35,53,4,5963,18
Colorado State University,https://www.colostate.edu/,36,53,63,78,242
Iowa State University,https://www.iastate.edu/,37,55,73,83,221
University of Michigan,https://umich.edu/,38,58,9,5963,7
University of Rochester,https://www.rochester.edu/,39,60,87,131,198
City University of New York,https://www.cuny.edu/,40,64,62,72,274
Oregon State University,https://oregonstate.edu/,41,66,59,85,294
University of Illinois Chicago,https://www.uic.edu/,42,67,106,75,194
University at Buffalo,http://www.buffalo.edu/,43,69,81,91,239
Columbia University New York,https://www.columbia.edu/,44,75,8,5963,13
University of Tennessee Knoxville,https://www.utk.edu/,45,76,104,107,215
Florida State University,https://www.fsu.edu/,46,77,84,68,264
Rice University,https://www.rice.edu/,47,80,75,46,310
University of Delaware,https://www.udel.edu/,48,82,55,55,385
University of Miami,https://welcome.miami.edu/,49,82,122,57,214
University of Pennsylvania,https://www.upenn.edu/,50,84,12,5963,14
University of Nebraska Lincoln,https://www.unl.edu/,51,86,67,147,320
University of South Florida,https://www.usf.edu/,52,86,80,93,304
George Washington University,https://www.gwu.edu/,53,89,76,140,303
University of Connecticut,https://uconn.edu/,54,90,113,64,243
McMaster University,https://www.mcmaster.ca/,55,92,177,21,181
University of Kentucky,http://www.uky.edu/,56,94,92,111,272
University of California Santa Cruz,https://www.ucsc.edu/,57,95,94,54,297
Simon Fraser University,https://www.sfu.ca/,58,97,71,120,333
Dartmouth College,https://home.dartmouth.edu/,59,98,79,96,316
Temple University,https://www.temple.edu/,60,99,111,87,254
University of California Los Angeles UCLA,https://www.ucla.edu/,61,101,17,5963,15
University of Kansas,https://www.ku.edu/,62,103,128,148,234
Université de Montréal,https://www.umontreal.ca/,63,106,151,62,230
Washington State University Pullman,https://wsu.edu/,64,107,82,125,348
University of Alabama Birmingham,https://www.uab.edu/,65,109,195,124,172
University of Notre Dame,https://www.nd.edu:443/,66,111,93,94,340
