Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
University of Melbourne,https://www.unimelb.edu.au/,1,17,100,22,23
University of New South Wales,https://www.unsw.edu.au/,2,19,83,27,37
University of Sydney,https://www.sydney.edu.au/,3,22,141,19,20
Australian National University,https://www.anu.edu.au/,4,38,78,28,145
University of Western Australia,https://www.uwa.edu.au/,5,81,224,41,128
University of Auckland,https://www.auckland.ac.nz/,6,105,205,77,173
Curtin University of Technology,http://www.curtin.edu.au/,7,147,321,119,197
Queensland University of Technology,https://www.qut.edu.au/,8,151,268,115,228
University of Technology Sydney,https://www.uts.edu.au/,9,156,328,145,202
Macquarie University,https://www.mq.edu.au/,10,163,265,113,257
Deakin University,https://www.deakin.edu.au/,11,179,374,152,211
RMIT University,https://www.rmit.edu.au/,12,183,258,195,279
Griffith University,https://www.griffith.edu.au/,13,192,379,123,235
University of Wollongong,https://www.uow.edu.au/,14,208,350,162,266
University of Queensland,https://www.uq.edu.au/,15,250,102,5963,33
University of Otago,https://www.otago.ac.nz/,16,252,415,155,347
University of Newcastle,https://www.newcastle.edu.au/,17,252,485,156,306
La Trobe University,https://www.latrobe.edu.au/,18,282,455,187,391
Monash University,https://www.monash.edu/,19,288,140,5963,34
University of Tasmania,https://www.utas.edu.au/,20,291,530,158,375
University of South Australia,https://www.unisa.edu.au/,21,308,509,234,407
Flinders University,https://www.flinders.edu.au/,22,343,534,233,490
James Cook University,https://www.jcu.edu.au/,23,358,627,226,479
University of Canterbury,https://www.canterbury.ac.nz/,24,382,444,363,606
University of Adelaide,https://www.adelaide.edu.au/,25,388,157,5963,121
Massey University,https://www.massey.ac.nz/,26,440,548,320,651
Murdoch University,https://www.murdoch.edu.au/,27,530,720,374,748
University of Waikato,https://www.waikato.ac.nz/,28,564,458,450,997
Charles Sturt University,https://www.csu.edu.au/,29,625,668,522,920
Victoria University,https://www.vu.edu.au/,30,625,814,585,811
Auckland University of Technology,https://www.aut.ac.nz/,31,642,882,472,831
University of New England Australia,https://www.une.edu.au/,32,654,758,490,945
Australian Catholic University,https://www.acu.edu.au/,33,668,1315,514,682
University of Canberra,https://www.canberra.edu.au/,34,702,890,551,955
University of Southern Queensland,https://www.usq.edu.au/,35,702,948,645,893
Southern Cross University,https://www.scu.edu.au/,36,841,983,605,1202
Western Sydney University,https://www.westernsydney.edu.au/,37,864,557,5963,426
Central Queensland University CQUniversity,https://www.cqu.edu.au/,38,900,1313,634,1144
University of the Sunshine Coast,https://www.usc.edu.au/,39,948,1909,612,1052
Charles Darwin University,https://www.cdu.edu.au/,40,960,1481,1043,1108
Swinburne University of Technology,https://www.swinburne.edu.au/,41,969,856,5963,416
Federation University Australia,https://federation.edu.au/,42,1081,1739,856,1306
Bond University,https://bond.edu.au/,43,1113,1305,1168,1483
Victoria University of Wellington,https://www.wgtn.ac.nz/,44,1168,748,5963,686
Edith Cowan University,https://www.ecu.edu.au/,45,1188,773,5963,708
Lincoln University Canterbury,https://www.lincoln.ac.nz/,46,1276,2040,1021,1545
University of the South Pacific,https://www.usp.ac.fj/,47,2028,3173,1817,2546
Menzies School of Health Research,https://www.menzies.edu.au/,48,2326,8383,1889,1732
University of Notre Dame Australia,https://www.notredame.edu.au/,49,2505,3522,5963,1587
Unitec New Zealand,https://www.unitec.ac.nz/,50,2611,2953,3073,3431
University of Guam,https://www.uog.edu/,51,3394,3484,5113,3816
Australian Maritime College,https://www.amc.edu.au/,52,3681,6234,5963,2638
Otago Polytechnic,https://www.op.ac.nz/,53,3737,3029,3986,4934
Fiji National University,https://www.fnu.ac.fj/,54,3903,10339,2823,3779
Eastern Institute of Technology Hawke’s Bay and Tairāwhiti,https://www.eit.ac.nz/,55,4023,5068,3867,4781
Torrens University Australia,https://www.torrens.edu.au/,56,4461,4521,5963,4517
Université de la Polynésie Française,http://www.upf.pf/,57,4662,7794,4707,4883
Waikato Institute of Technology,https://www.wintec.ac.nz/,58,4679,4932,5262,5201
Manukau Institute of Technology,https://www.manukau.ac.nz/,59,4710,5206,5963,4719
University of Papua New Guinea,https://www.upng.ac.pg/,60,4980,10546,5963,4092
Open Colleges,https://www.opencolleges.edu.au/,61,5532,1071,5963,6683
(3) Melbourne Business School,https://mbs.edu/,62,5598,4849,2605,6683
Papua New Guinea University of Technology,https://www.unitech.ac.pg/,63,5757,11291,5963,5006
Universal College of Learning,http://www.ucol.ac.nz/,64,5826,6590,5963,5655
Open Polytechnic of New Zealand,http://www.openpolytechnic.ac.nz/,65,5881,6841,5963,5655
Blue Mountains (Australian) International Hotel Management School,https://www.bluemountains.edu.au/,66,5922,9625,5963,5342
TAFE NSW Degrees,https://www.tafensw.edu.au/,67,5941,1798,5963,6683
Ara Institute of Canterbury (formerly Christchurch Polytechnic Institute of Technology),https://www.ara.ac.nz/,68,6006,6351,5963,5807
Auckland Institute of Studies,https://www.ais.ac.nz/,69,6127,7987,5963,5655
Australian Defence Force Academy at UNSW,http://www.unsw.adfa.edu.au/,70,6558,2856,5963,6683
Divine Word University,https://www.dwu.ac.pg/,71,7407,11816,5963,5655
TAFE Queensland,https://tafeqld.edu.au/,72,7463,4264,5963,6683
College of Micronesia FSM,http://www.comfsm.fm/,73,7471,7045,5963,6245
Nelson Marlborough Institute of Technology,https://www.nmit.ac.nz/,74,7609,4453,5963,6683
