Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
University of Cape Town,www.uct.ac.za,1,336,635,404,287,2012
Stellenbosch University,www.sun.ac.za,2,337,312,688,472,2012
University of Pretoria,web.up.ac.za,3,611,1848,707,617,2012
Rhodes University,www.ru.ac.za,4,671,686,1513,1104,2012
University of Kwazulu Natal,www.ukzn.ac.za,5,773,1816,1052,579,2012
University of the Witwatersrand,www.wits.ac.za,6,777,967,1971,448,2012
Cairo University,www.cu.edu.eg,7,796,813,1399,718,2012
University of South Africa,www.unisa.ac.za,8,1012,1352,1476,2002,2012
University of the Western Cape,www.uwc.ac.za,9,1017,1630,1029,1270,2012
Ain Shams University,net.shams.edu.eg,10,1109,4458,42,976,2012
Makerere University,mak.ac.ug,11,1174,4798,970,881,2012
Polytechnic of Namibia,www.polytechnic.edu.na,12,1319,953,2196,4260,2012
University of Khartoum,www.uofk.edu,13,1394,1463,3969,1833,2012
University of Nairobi,www.uonbi.ac.ke,14,1435,2009,4055,1345,2012
Nelson Mandela Metropolitan University,www.nmmu.ac.za,15,1452,4040,853,1541,2012
American University in Cairo,www.aucegypt.edu,16,1518,1748,2191,1914,2012
Mansoura University,www.mans.edu.eg,17,1685,4081,2287,961,2012
(1) University of the Free State,www.ufs.ac.za,18,1786,4000,1882,1492,2012
University of Ghana,www.ug.edu.gh,19,1797,2500,5694,1474,2012
University of Johannesburg,www.uj.ac.za,20,1831,4721,2095,1365,2012
Addis Ababa University,www.aau.edu.et,21,1903,5399,3370,1382,2012
Cape Peninsula University of Technology,www.cput.ac.za,22,1949,2642,1718,2448,2012
University of Dar Es Salaam,www.udsm.ac.tz,23,1977,2983,3813,1833,2012
Sudan University of Science & Technology,www.sustech.edu,24,2020,2986,1713,3656,2012
Université Mentouri de Constantine,www.umc.edu.dz,25,2185,9778,408,1809,2012
Zagazig University,www.zu.edu.eg,26,2249,3351,3234,1571,2012
Université Abou Bekr Belkaid Tlemcen,www.univ-tlemcen.dz,27,2273,4414,3034,2278,2012
Université Cheikh Anta Diop de Dakar,www.ucad.sn,28,2334,5303,2809,1767,2012
Kwame Nkrumah University of Science & Technology,www.knust.edu.gh,29,2367,3421,5271,1704,2012
Kenyatta University,www.ku.ac.ke,30,2454,6517,3700,2262,2012
(1) University of Benin,www.uniben.edu,31,2485,2043,5046,2493,2012
Auchi Polytechnic,www.auchipoly.edu.ng,32,2487,497,9809,5230,2012
Assiut University,www.aun.edu.eg,33,2543,6521,2777,1360,2012
Al-Azhar University,www.azhar.edu.eg,34,2583,1224,9809,1431,2012
University of Mauritius,www.uom.ac.mu,35,2700,4772,2892,2322,2012
Université Abdelmalek Essaadi,www.uae.ma,36,2823,4871,5408,2420,2012
Strathmore University Nairobi,www.strathmore.edu,37,2832,4306,3852,5230,2012
Université Cadi Ayyad,www.ucam.ac.ma,38,2921,6302,5046,1299,2012
University of Botswana,www.ub.bw,39,2929,7074,4622,1773,2012
Université des Sciences et de la Technologie Houari Boumediene,www.usthb.dz,40,2935,8345,2323,1482,2012
North West University,www.nwu.ac.za,41,2941,7573,5157,1261,2012
Universidade Eduardo Mondlane,www.uem.mz,42,3074,4157,6220,2196,2012
Mauritius Institute of Education,www.mieonline.org,43,3102,469,9809,5230,2012
Helwan University,www.helwan.edu.eg,44,3124,3092,6754,1787,2012
University of Ibadan,www.ui.edu.ng,45,3215,3813,8345,1318,2012
Benha University,www.bu.edu.eg,46,3280,10933,1635,2184,2012
University of Ilorin,www.unilorin.edu.ng,47,3342,9256,596,3238,2012
(1) Moi University,www.muk.ac.ke,48,3390,4849,5694,2016,2012
Université d'Antananarivo,www.univ-antananarivo.mg,49,3410,2420,9809,2196,2012
Université Hassan II Ain-Chock,www.uh2c.ac.ma,50,3514,5770,9809,2156,2012
University of Education Winneba,www.uew.edu.gh,51,3517,3609,4954,4606,2012
University of Namibia,www.unam.na,52,3521,6593,2441,2184,2012
École National Supérieure de l'Informatique (ex-INI),www.esi.dz,53,3566,5534,6038,3656,2012
Mogadishu University,www.mogadishuuniversity.com,54,3661,1345,9809,5230,2012
University of Lagos,www.unilag.edu.ng,55,3691,5402,8345,1975,2012
Université Badji Mokhtar de Annaba,www.univ-annaba.org,56,3778,4935,7601,1914,2012
Al Akhawayn University Ifrane,www.aui.ma,57,3799,5559,4338,3029,2012
Université Mouloud Mammeri de Tizi Ouzou,www.ummto.dz,58,3850,9684,3007,2543,2012
University of Zimbabwe,www.uz.ac.zw,59,3874,4749,9809,1467,2012
Kafrelsheikh University,www.kfs.edu.eg,60,3946,9013,3177,1904,2012
Jimma University,www.ju.edu.et,61,3956,5431,4009,2630,2012
Egerton University,www.egerton.ac.ke,62,3959,4553,8345,2830,2012
Université Hassiba Ben Bouali,www.univ-chlef.dz,63,4009,10741,2549,3238,2012
University of Nigeria,unn.edu.ng,64,4031,8101,4622,2225,2012
Jomo Kenyatta University of Agriculture and Technology,www.jkuat.ac.ke,65,4039,7743,5408,2790,2012
Minia University,www.minia.edu.eg,66,4089,7574,5560,1787,2012
Arab Academy for Science & Technology and Maritime Transport,www.aast.edu,67,4106,2168,7125,5230,2012
University of Tanta,www.tanta.edu.eg,68,4132,6614,7601,1382,2012
University of Zululand,www.uzulu.ac.za,69,4132,9542,2263,2872,2012
Université de Batna,www.univ-batna.dz,70,4151,9009,2777,2521,2012
National University of Rwanda,www.nur.ac.rw,71,4157,7288,6457,3320,2012
Open University of Sudan,www.ous.edu.sd,72,4183,960,9809,5230,2012
University of Zambia,www.unza.zm,73,4280,6737,6457,1637,2012
École Mohammadia d'Ingénieurs,www.emi.ac.ma,74,4308,4999,4954,3656,2012
University of Malawi,www.unima.mw,75,4367,9157,6220,1374,2012
Ahmadu Bello University,www.abu.edu.ng,76,4379,10912,3655,2392,2012
Alexandria University,www.alexu.edu.eg,77,4404,12437,4622,998,2012
(1) Université Mohammed Premier Oujda,www.univ-oujda.ac.ma,78,4410,8126,6457,1914,2012
Obafemi Awolowo University,www.oauife.edu.ng,79,4433,9078,5694,2057,2012
El Asher University,www.eau.edu.eg,80,4622,1466,9809,5230,2012
Durban University of Technology,www.dut.ac.za,81,4640,9314,8345,2448,2012
German University in Cairo,www.guc.edu.eg,82,4691,6638,3470,3821,2012
Tshwane University of Technology,www.tut.ac.za,83,4761,7737,6220,1844,2012
Université Mohamed Khider Biskra,www.univ-biskra.dz,84,4833,9434,3470,3086,2012
Université Mohammed V Souissi,www.um5s.ac.ma,85,4884,7386,6754,3656,2012
South Valley University,www.svu.edu.eg,86,4892,9002,5046,2057,2012
Université des Sciences et de la Technologie d'Oran Mohamed Boudiaf,www.univ-usto.dz,87,4924,9883,3896,2171,2012
University of Jos,www.unijos.edu.ng,88,5040,10624,3059,3520,2012
University of Fort Hare,www.ufh.ac.za,89,5079,8925,7601,1928,2012
University of Cape Coast,www.ucc.edu.gh,90,5099,7052,5861,3404,2012
Presbyterian University College,www.presbyuniversity.edu.gh,91,5123,2721,9809,5230,2012
Université d'Abomey-Calavi,www.uac.bj,92,5264,13304,5861,2245,2012
Université Mohammed V Agdal,www.um5a.ac.ma,93,5477,10697,9809,1889,2012
Covenant University Ota,www.covenantuniversity.edu.ng,94,5489,12033,1810,4606,2012
Groupe EIER-ETSHER,www.2ie-edu.org,95,5532,6876,6457,5230,2012
Université M'Hamed Bougara de Boumerdes,www.umbb.dz,96,5613,10781,3932,2923,2012
Al Azhar Al-Sharif Islamic Research Academy,www.alazhar.gov.eg,97,5662,3119,9809,5230,2012
Université de Bejaia,www.univ-bejaia.dz,98,5698,7725,8345,2363,2012
(1) Copperbelt University,www.cbu.edu.zm,99,5712,5660,8345,4606,2012
Université Virtuelle de Tunis,www.uvt.rnu.tn,100,5748,8954,5408,5230,2012
University of Kwazulu Natal,www.ukzn.ac.za,1,381,368,817,549,2013
University of Cape Town,www.uct.ac.za,2,390,692,751,266,2013
Stellenbosch University,www.sun.ac.za,3,462,638,642,448,2013
Makerere University,mak.ac.ug,4,696,832,786,854,2013
University of the Witwatersrand,www.wits.ac.za,5,719,1360,315,422,2013
University of Pretoria,web.up.ac.za,6,746,1237,341,607,2013
University of the Western Cape,www.uwc.ac.za,7,834,770,2371,1247,2013
Obafemi Awolowo University,www.oauife.edu.ng,8,1113,717,10083,2156,2013
Rhodes University,www.ru.ac.za,9,1191,1747,1308,1190,2013
Cairo University,cu.edu.eg,10,1206,2480,1976,653,2013
University of Dar Es Salaam,www.udsm.ac.tz,11,1419,1477,7286,1842,2013
University of South Africa,www.unisa.ac.za,12,1545,2019,780,1854,2013
American University in Cairo,www.aucegypt.edu,13,1574,1828,1658,1999,2013
University of Nairobi,www.uonbi.ac.ke,14,1624,2883,1119,1323,2013
Mansoura University,www.mans.edu.eg,15,1699,3627,2057,961,2013
University of Johannesburg,www.uj.ac.za,16,1749,3374,930,1209,2013
(1) Ain Shams University,www.shams.edu.eg,17,1887,4383,3429,907,2013
University of Ghana,www.ug.edu.gh,18,1917,3359,6019,1438,2013
Assiut University,www.aun.edu.eg,19,1924,3711,686,1369,2013
Université d'Antananarivo,www.univ-antananarivo.mg,20,1964,1953,13407,2392,2013
Maseno University,maseno.ac.ke,21,2053,1361,8090,3510,2013
North West University,www.nwu.ac.za,22,2094,4623,993,1228,2013
