Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core,Year
(3) Universidade de São Paulo USP,www.usp.br,1,15,42,2,82,2012
(3) Universidad Nacional Autónoma de México,www.unam.mx,2,41,51,16,274,2012
Universidade Federal de Santa Catarina UFSC,ufsc.br,3,99,144,6,709,2012
Universidade Estadual de Campinas UNICAMP,www.unicamp.br,4,122,290,23,313,2012
Universidade Federal do Rio Grande do Sul UFRGS,www.ufrgs.br,5,125,342,40,444,2012
Universidade Federal do Rio de Janeiro,www.ufrj.br,6,173,375,20,380,2012
Universidad de Chile,www.uchile.cl,7,186,253,208,452,2012
Universidade Federal de Minas Gerais UFMG,www.ufmg.br,8,186,444,10,477,2012
Universidad de Buenos Aires,www.uba.ar,9,207,252,109,367,2012
Universidade Estadual Paulista Júlio de Mesquita Filho,www.unesp.br,10,215,672,5,420,2012
Universidad de Costa Rica,www.ucr.ac.cr,11,287,433,77,1314,2012
Universidade Federal da Bahia,www.ufba.br,12,297,256,83,994,2012
Universidade Federal do Paraná,www.ufpr.br,13,312,495,104,859,2012
Universidade de Brasília UNB,www.unb.br,14,320,318,387,834,2012
Universidad Nacional de Colombia,www.unal.edu.co,15,406,792,313,1050,2012
Universidad Nacional de la Plata,www.unlp.edu.ar,16,434,1088,65,705,2012
Universidade Federal Fluminense,www.uff.br,17,438,712,59,1044,2012
Universidad de Puerto Rico,www.upr.edu,18,482,592,2351,627,2012
Universidad de los Andes Colombia,www.uniandes.edu.co,19,486,406,528,1155,2012
Universidade Federal de Pernambuco,www.ufpe.br,20,557,779,306,871,2012
Universidad Nacional de Cordoba,www.unc.edu.ar,21,571,1141,318,865,2012
Pontificia Universidade Católica do Rio de Janeiro PUC-RIO,www.puc-rio.br,22,575,1010,264,1055,2012
Universidad de Guadalajara,www.udg.mx,23,576,513,426,1648,2012
Universidad de los Andes Mérida,www.ula.ve,24,599,1838,248,1402,2012
Pontificia Universidade Católica do Rio Grande do Sul PUCRS,www.pucrs.br,25,603,1212,97,1180,2012
Universidade do Estado do Rio de Janeiro UERJ,www.uerj.br,26,643,1580,96,844,2012
Universidad Autónoma Metropolitana,www.uam.mx,27,651,1773,112,955,2012
Instituto Politécnico Nacional,www.ipn.mx,28,659,1181,445,925,2012
Universidad de Concepción,www.udec.cl,29,661,969,697,822,2012
Pontificia Universidad Católica del Perú,www.pucp.edu.pe,30,687,556,359,2156,2012
Universidade Federal de Uberlândia,www.ufu.br,31,691,1186,156,1353,2012
Universidade do Estado de Santa Catarina UDESC,www.udesc.br,32,693,475,212,2225,2012
Universidad Nacional de Cuyo Mendoza,www.uncu.edu.ar,33,695,522,615,1552,2012
Universidade Federal do Rio Grande do Norte,www.ufrn.br,34,697,1365,149,1273,2012
Universidade Federal de Goiás,www.ufg.br,35,701,2004,117,1291,2012
Universidade Federal do Ceará,www.ufc.br,36,711,1574,329,933,2012
Universidad Autónoma de Nuevo León,www.uanl.mx,37,712,1196,484,1448,2012
Universidade Federal de São Carlos,www.ufscar.br,38,715,1617,270,813,2012
Universidade Federal de Santa Maria UFSM,www.ufsm.br,39,716,1893,104,1027,2012
Universidade Federal de Viçosa UFV,www.ufv.br,40,718,1330,98,1299,2012
Universidade Estadual de Maringá,www.uem.br,41,722,1296,86,1261,2012
Universidade do Vale do Rio dos Sinos UNISINOS,www.unisinos.br,42,738,927,175,1943,2012
Pontificia Universidad Católica de Chile,www.uc.cl,43,749,1600,737,545,2012
Universidad de Antioquia,www.udea.edu.co,44,774,1341,714,1286,2012
University of the West Indies,www.uwi.edu,45,784,1665,1094,1116,2012
Universidad de Santiago de Chile,www.usach.cl,46,862,336,1800,1253,2012
Universidade Federal do Pará UFPA,www.portal.ufpa.br,47,870,1554,374,1436,2012
Universidade Federal da Paraíba UFPB,www.ufpb.br,48,881,2091,205,1218,2012
Pontificia Universidad Javeriana,puj-portal.javeriana.edu.co,49,900,2175,240,1767,2012
