Name,Web,Regional_ranking,World_ranking,Impact_score,Openness_score,Excellence_core
University of Cape Town,http://www.uct.ac.za/,1,216,417,160,248
Stellenbosch University,http://www.sun.ac.za/,2,367,656,272,458
Cairo University,https://cu.edu.eg/,3,553,1430,537,456
University of Kwazulu Natal,https://ukzn.ac.za/,4,570,1396,425,521
University of Johannesburg,https://www.uj.ac.za/,5,690,2233,581,504
University of South Africa,https://www.unisa.ac.za/,6,816,1077,831,1026
Alexandria University,https://www.alexu.edu.eg/,7,840,1900,689,807
University of the Western Cape,https://www.uwc.ac.za/,8,862,1103,736,1139
University of the Witwatersrand,https://www.wits.ac.za/,9,864,698,5963,353
University of Pretoria,https://www.up.ac.za/,10,952,647,5963,501
Mansoura University,http://www.mans.edu.eg/,11,1011,3954,555,737
Rhodes University,https://www.ru.ac.za/,12,1026,1550,847,1269
University of Nairobi,https://www.uonbi.ac.ke/,13,1055,1180,616,1637
Makerere University,http://www.mak.ac.ug/,14,1103,2159,1288,1077
University of Ghana,https://www.ug.edu.gh/,15,1172,2549,823,1201
Université Cadi Ayyad Marrakech,https://www.uca.ma/,16,1196,3111,1373,997
American University in Cairo,https://www.aucegypt.edu/,17,1210,997,934,2031
University of Ibadan,https://www.ui.edu.ng/,18,1219,2491,708,1368
University of the Free State,https://www.ufs.ac.za/,19,1222,3035,975,1135
Ain Shams University,http://www.asu.edu.eg/,20,1279,6459,630,718
Covenant University Ota,https://covenantuniversity.edu.ng/,21,1326,3656,939,1195
Addis Ababa University,https://www.aau.edu.et/,22,1371,3727,1166,1206
Assiut University,http://www.aun.edu.eg/,23,1428,5683,688,1020
Zagazig University,http://www.zu.edu.eg/,24,1460,6503,951,892
Kwame Nkrumah University of Science & Technology,https://www.knust.edu.gh/,25,1507,3987,986,1456
Benha University,https://bu.edu.eg/,26,1517,4831,987,1239
Université Mohammed V de Rabat,http://www.um5.ac.ma/,27,1603,8308,960,882
Obafemi Awolowo University,https://oauife.edu.ng/,28,1614,2631,1180,2024
University of Nigeria,http://www.unn.edu.ng/,29,1615,3660,730,1844
Suez Canal University,http://suez.edu.eg/,30,1641,5020,1136,1404
Tanta University,https://tanta.edu.eg/,31,1648,7786,757,1039
Nelson Mandela University,https://www.mandela.ac.za/,32,1685,4078,1804,1611
Tshwane University of Technology,https://www.tut.ac.za/,33,1689,5872,1473,1248
North West University,http://www.nwu.ac.za/,34,1736,2598,5963,821
Al Azhar University,http://www.azhar.edu.eg/,35,1754,7304,1251,1158
Helwan University,https://www.helwan.edu.eg/,36,1763,6820,1055,1307
Egerton University,https://www.egerton.ac.ke/,37,1889,889,3223,3224
University of Lagos,https://unilag.edu.ng/,38,1894,4562,1086,2058
Kafr El Sheikh University,http://www.kfs.edu.eg/,39,1901,7648,1075,1404
Kenyatta University,http://www.ku.ac.ke/,40,1923,1674,1196,3224
University of Dar Es Salaam,https://www.udsm.ac.tz/,41,1973,3946,1324,2331
Durban University of Technology,https://www.dut.ac.za/,42,1985,4684,1551,2024
Université des Sciences et de la Technologie Houari Boumediene,https://www.usthb.dz/,43,1985,6946,1253,1607
Université de Sfax,http://univ-sfax.tn/,44,2018,3855,5963,901
British University in Egypt,https://www.bue.edu.eg/,45,2044,6234,2187,1611
Menoufia University,http://www.menofia.edu.eg/,46,2049,9572,1105,1331
Université des Frères Mentouri Constantine 1 (Ex Université Mentouri),https://www.umc.edu.dz/,47,2069,5097,1002,2272
Minia University,https://www.minia.edu.eg/,48,2093,8792,1109,1510
Beni Suef University,https://www.bsu.edu.eg/,49,2117,11726,875,1158
University of Zimbabwe,https://www.uz.ac.zw/,50,2119,5008,2149,2042
Moi University,https://mu.ac.ke/,51,2156,3799,1504,2702
Jomo Kenyatta University of Agriculture and Technology,http://www.jkuat.ac.ke/,52,2160,3910,1273,2754
Sokoine University of Agriculture,https://www.sua.ac.tz/,53,2173,4907,1037,2496
University of Zambia,https://www.unza.zm/,54,2176,5819,1429,2125
Arab Academy for Science & Technology and Maritime Transport,http://www.aast.edu/,55,2204,4946,1458,2391
Université Hassan II de Casablanca,http://www.univh2c.ma/,56,2205,11697,2090,1011
South Valley University,http://www.svu.edu.eg/,57,2235,6715,1391,2017
Université d'Oran 1 Ahmed Ben Bella,https://www.univ-oran1.dz/,58,2266,2995,2584,2865
University of Mauritius,https://www.uom.ac.mu/,59,2276,6200,1911,2071
